site_id,sensor_id,datetime_local,species_common,species_scientific,confidence,start_time_sec,end_time_sec,file_name,date,hour,minute,call_duration
3,7901,2025-02-04 01:45:00,Eurasian Tree Sparrow,Passer montanus,0.3861081004142761,465.0,468.0,3_S7901_20250204_014500(UTC+7).wav,2025-02-04,1,45,3.0
3,7901,2025-02-04 01:45:00,Eurasian Tree Sparrow,Passer montanus,0.27303802967071533,489.0,492.0,3_S7901_20250204_014500(UTC+7).wav,2025-02-04,1,45,3.0
3,7901,2025-02-04 01:45:00,Eurasian Tree Sparrow,Passer montanus,0.6090447306632996,501.0,504.0,3_S7901_20250204_014500(UTC+7).wav,2025-02-04,1,45,3.0
3,7901,2025-02-04 01:45:00,Dollarbird,Eurystomus orientalis,0.2818911671638489,501.0,504.0,3_S7901_20250204_014500(UTC+7).wav,2025-02-04,1,45,3.0
1,7899,2025-02-04 02:00:00,Asian Openbill,Anastomus oscitans,0.44409409165382385,27.0,30.0,1_S7899_20250204_020000(UTC+7).wav,2025-02-04,2,0,3.0
3,7901,2025-02-04 02:15:00,Cattle Egret,Bubulcus ibis,0.27967944741249084,264.0,267.0,3_S7901_20250204_021500(UTC+7).wav,2025-02-04,2,15,3.0
3,7901,2025-02-04 02:15:00,Black-crowned Night-Heron,Nycticorax nycticorax,0.7459353804588318,387.0,390.0,3_S7901_20250204_021500(UTC+7).wav,2025-02-04,2,15,3.0
1,7899,2025-02-04 02:45:00,Cattle Egret,Bubulcus ibis,0.360903799533844,411.0,414.0,1_S7899_20250204_024500(UTC+7).wav,2025-02-04,2,45,3.0
3,7901,2025-02-04 02:45:00,Eurasian Tree Sparrow,Passer montanus,0.6201508641242981,582.0,585.0,3_S7901_20250204_024500(UTC+7).wav,2025-02-04,2,45,3.0
1,7899,2025-02-04 03:30:00,Asian Openbill,Anastomus oscitans,0.33724647760391235,18.0,21.0,1_S7899_20250204_033000(UTC+7).wav,2025-02-04,3,30,3.0
1,7899,2025-02-04 03:45:00,Asian Openbill,Anastomus oscitans,0.39105224609375,42.0,45.0,1_S7899_20250204_034500(UTC+7).wav,2025-02-04,3,45,3.0
3,7901,2025-02-04 03:45:00,Cattle Egret,Bubulcus ibis,0.3347036838531494,534.0,537.0,3_S7901_20250204_034500(UTC+7).wav,2025-02-04,3,45,3.0
3,7901,2025-02-04 03:45:00,Black-crowned Night-Heron,Nycticorax nycticorax,0.2729598879814148,534.0,537.0,3_S7901_20250204_034500(UTC+7).wav,2025-02-04,3,45,3.0
3,7901,2025-02-04 04:30:00,Black-crowned Night-Heron,Nycticorax nycticorax,0.25678348541259766,516.0,519.0,3_S7901_20250204_043000(UTC+7).wav,2025-02-04,4,30,3.0
3,7901,2025-02-04 04:30:00,Black-crowned Night-Heron,Nycticorax nycticorax,0.35733774304389954,555.0,558.0,3_S7901_20250204_043000(UTC+7).wav,2025-02-04,4,30,3.0
3,7901,2025-02-04 04:45:00,Cattle Egret,Bubulcus ibis,0.3966594636440277,126.0,129.0,3_S7901_20250204_044500(UTC+7).wav,2025-02-04,4,45,3.0
1,7899,2025-02-04 04:45:00,Cattle Egret,Bubulcus ibis,0.2952803373336792,300.0,303.0,1_S7899_20250204_044500(UTC+7).wav,2025-02-04,4,45,3.0
1,7899,2025-02-04 04:45:00,Black-crowned Night-Heron,Nycticorax nycticorax,0.8483651876449585,336.0,339.0,1_S7899_20250204_044500(UTC+7).wav,2025-02-04,4,45,3.0
3,7901,2025-02-04 04:45:00,Black-crowned Night-Heron,Nycticorax nycticorax,0.9247453212738037,339.0,342.0,3_S7901_20250204_044500(UTC+7).wav,2025-02-04,4,45,3.0
1,7899,2025-02-04 04:45:00,Common Myna,Acridotheres tristis,0.25464653968811035,525.0,528.0,1_S7899_20250204_044500(UTC+7).wav,2025-02-04,4,45,3.0
3,7901,2025-02-04 05:00:00,Cattle Egret,Bubulcus ibis,0.34562745690345764,177.0,180.0,3_S7901_20250204_050000(UTC+7).wav,2025-02-04,5,0,3.0
3,7901,2025-02-04 05:00:00,Cattle Egret,Bubulcus ibis,0.7013564705848694,180.0,183.0,3_S7901_20250204_050000(UTC+7).wav,2025-02-04,5,0,3.0
3,7901,2025-02-04 05:00:00,Little Egret,Egretta garzetta,0.49943381547927856,180.0,183.0,3_S7901_20250204_050000(UTC+7).wav,2025-02-04,5,0,3.0
3,7901,2025-02-04 05:00:00,Caspian Tern,Hydroprogne caspia,0.9701306223869324,186.0,189.0,3_S7901_20250204_050000(UTC+7).wav,2025-02-04,5,0,3.0
1,7899,2025-02-04 05:00:00,Cattle Egret,Bubulcus ibis,0.327476441860199,189.0,192.0,1_S7899_20250204_050000(UTC+7).wav,2025-02-04,5,0,3.0
1,7899,2025-02-04 05:00:00,Cattle Egret,Bubulcus ibis,0.44350022077560425,207.0,210.0,1_S7899_20250204_050000(UTC+7).wav,2025-02-04,5,0,3.0
1,7899,2025-02-04 05:00:00,Cattle Egret,Bubulcus ibis,0.2826274335384369,216.0,219.0,1_S7899_20250204_050000(UTC+7).wav,2025-02-04,5,0,3.0
1,7899,2025-02-04 05:15:00,Great Cormorant,Phalacrocorax carbo,0.3328627943992615,585.0,588.0,1_S7899_20250204_051500(UTC+7).wav,2025-02-04,5,15,3.0
3,7901,2025-02-04 05:30:00,Black-collared Starling,Gracupica nigricollis,0.27943482995033264,6.0,9.0,3_S7901_20250204_053000(UTC+7).wav,2025-02-04,5,30,3.0
1,7899,2025-02-04 05:30:00,Cattle Egret,Bubulcus ibis,0.46727699041366577,12.0,15.0,1_S7899_20250204_053000(UTC+7).wav,2025-02-04,5,30,3.0
3,7901,2025-02-04 05:30:00,Cattle Egret,Bubulcus ibis,0.28661566972732544,96.0,99.0,3_S7901_20250204_053000(UTC+7).wav,2025-02-04,5,30,3.0
1,7899,2025-02-04 05:30:00,Black-crowned Night-Heron,Nycticorax nycticorax,0.5435848832130432,102.0,105.0,1_S7899_20250204_053000(UTC+7).wav,2025-02-04,5,30,3.0
3,7901,2025-02-04 05:30:00,Glossy Ibis,Plegadis falcinellus,0.3222575783729553,105.0,108.0,3_S7901_20250204_053000(UTC+7).wav,2025-02-04,5,30,3.0
3,7901,2025-02-04 05:30:00,Glossy Ibis,Plegadis falcinellus,0.39013898372650146,108.0,111.0,3_S7901_20250204_053000(UTC+7).wav,2025-02-04,5,30,3.0
3,7901,2025-02-04 05:30:00,Glossy Ibis,Plegadis falcinellus,0.2984371483325958,138.0,141.0,3_S7901_20250204_053000(UTC+7).wav,2025-02-04,5,30,3.0
3,7901,2025-02-04 05:30:00,Glossy Ibis,Plegadis falcinellus,0.2872958779335022,141.0,144.0,3_S7901_20250204_053000(UTC+7).wav,2025-02-04,5,30,3.0
1,7899,2025-02-04 05:30:00,Cattle Egret,Bubulcus ibis,0.35417860746383667,201.0,204.0,1_S7899_20250204_053000(UTC+7).wav,2025-02-04,5,30,3.0
3,7901,2025-02-04 05:30:00,Cattle Egret,Bubulcus ibis,0.3593357503414154,303.0,306.0,3_S7901_20250204_053000(UTC+7).wav,2025-02-04,5,30,3.0
3,7901,2025-02-04 05:30:00,Cattle Egret,Bubulcus ibis,0.727882981300354,306.0,309.0,3_S7901_20250204_053000(UTC+7).wav,2025-02-04,5,30,3.0
3,7901,2025-02-04 05:30:00,Cattle Egret,Bubulcus ibis,0.4525807201862335,318.0,321.0,3_S7901_20250204_053000(UTC+7).wav,2025-02-04,5,30,3.0
1,7899,2025-02-04 05:30:00,Cattle Egret,Bubulcus ibis,0.2867734730243683,357.0,360.0,1_S7899_20250204_053000(UTC+7).wav,2025-02-04,5,30,3.0
3,7901,2025-02-04 05:30:00,Cattle Egret,Bubulcus ibis,0.26057660579681396,378.0,381.0,3_S7901_20250204_053000(UTC+7).wav,2025-02-04,5,30,3.0
3,7901,2025-02-04 05:30:00,Cattle Egret,Bubulcus ibis,0.41101664304733276,393.0,396.0,3_S7901_20250204_053000(UTC+7).wav,2025-02-04,5,30,3.0
